final_score,niche_score,niche_tag,channel_name,handle,sub_count,topic_overlap,matching_topics,note,sample_title_1,sample_title_2,sample_title_3,channel_id
60.31,85,dev-tools,Marco Peluso,@marco_peluso,5200,1,terminal tmux setup,Vim and tmux workflow deep-dives for terminal developers,Neovim + tmux clipboard not working? Here's why,Mise makes Neovim nightly effortless,Ditch Your Stash: Use Git Worktrees Instead,UCPIdAOR2dHuUGzADe7f3vnA
59.56,70,dev-tools,Brodie Robertson,@BrodieRobertson,119000,2,"terminal tmux setup, dotfiles git workflow",Linux and open-source news with terminal workflow mentions,The KDE Plasma Design That Never Got To Live,IPv8 Changes Everything We Know About IP,Github Hates That This Repo Still Exists,UCld68syR8Wi-GY_n4CaoJGA
59.45,78,dev-tools,Philomatics,@philomatics,67400,1,dotfiles git workflow,Git workflow and GitHub CLI with AI tool integration,You should probably switch to a monorepo,This AI Tool writes commit messages for you (and more),The Future of Programming with Patrick Dubroy | Philomatics Podcast #2,UCmtC7HJIoMQxkvV4gh5dP0Q
58.37,72,programming-education,NeuralNine,@NeuralNine,467000,1,python design patterns,Python AI tooling tutorials with Claude Code and agent skills,Reliable AI Research Assistant in Python: Langchain & MCP,Claude Code Crash Course: All Features You Need To Know About,Why I Don't Think SaaS Is Dead...,UC8wZnXYK_CGKlBcZp-GxYPA
58.1,70,ai-ml-dev,Zen van Riel,@zenvanriel,38700,2,"local llm coding, ai code testing",Local AI and WebGPU content with developer workflow focus,The Honest Guide To Fine-Tuning Local AI In 2026,I Quit My GitHub Job Because AI Breaks Software,I Replaced My AI Server With A Browser Tab (WebGPU 2026 Setup),UC7TUInmEJ4NmYb-krFz-SuA
57.32,65,devops-cloud,NetworkChuck,@NetworkChuck,5230000,1,terminal tmux setup,Massive cybersecurity channel with growing AI coding tool coverage,i didn't want to like this....,the WORST hack of 2026,OpenClaw......RIGHT NOW??? (it's not what you think),UC9x0AN7BWHpCDHSm9NiJFJQ
57.09,70,programming-education,CodeAesthetic,@CodeAesthetic,437000,1,python dependency injection,Code quality and design principles for all developers,Dear Functional Bros,"Dependency Injection, The Best Pattern",Premature Optimization,UCaSCt8s_4nfkRglWCvNSDrg
56.73,75,dev-tools,tony,@tony-btw,33100,1,neovim configuration,Linux system and terminal tool installations with developer focus,How to Install GNU Guix System (2027 Edition),How to Install OpenBSD (2027 Edition),XMPP is the End Game of Chat Protocols (2027 Edition),UC65_CVnMw6hvPET_DRDg3GA
56.18,65,ai-ml-dev,Digital Spaceport,@DigitalSpaceport,88600,2,"open source llm testing, model benchmark comparison",Local AI model benchmarking and open-source LLM testing,Qwen 3.6 27b Local Ai Review and Benchmark,Qwen 3.6 vs Gemma 4 Local Ai Benchmarking,Local Ai Performance Testing GLM 5.1,UCiaQzXI5528Il6r2NNkrkJA
55.84,65,programming-education,Next Day Video,@NextDayVideo,68500,2,"python design patterns, python clean architecture",Python conference channel with architecture and design patterns talks,To comment or not? A data-driven look at developer attitudes toward code comments,Lightning Talks,Free yourself from your ORM with mypy!,UCQ7dFBzZGlBvtU2hCecsBBg
54.31,60,dev-tools,devaslife,@devaslife,212000,2,"neovim configuration, terminal tmux setup",Cozy coding lifestyle with Neovim usage but more desk-setup and frontend focus,What a Japanese life principle taught me about overcoming AI fatigue,I made my Keychron K2 HE stealthy,I hacked a MagSafe stand for my iPad mini blogging setup,UC7yZ6keOGsvERMp2HaEbbXQ
54.1,78,dev-tools,Eric McKevitt,@ericmckevitt,1110,1,terminal tmux setup,Terminal customization and tmux workflow optimization,Completely Replace and Customize Your MacOS Menu Bar with Sketchybar,Tmux Popups - The Most Underrated Feature in Tmux,My RMPC Setup - The Best Terminal Music Player,UCnrclhptUG4nuYuYqgBzQMA
53.92,70,dev-tools,System Crafters,@SystemCrafters,38400,1,dotfiles git workflow,Guix and Nix system configuration with Git workflow for developers,A Primer on Match Expressions in Scheme - Learning Guile Scheme,Scraping Emacs Package Listings into SQLite - Real World Scheme Programming #2,Creating a New Website for Emacs Packages in Guile | Real World Scheme Programming,UCAiiOTio8Yu69c3XnR7nQBQ
53.86,55,python-data,codebasics,@codebasics,1500000,2,"spark data processing, data pipelines airflow",Data engineering education with some AI automation content,Our clients are saying No to Vibe Coding | Vibe Coding vs Manual Coding,Workflow Automation with Claude Code & Zapier MCP | AI Automation Project,About Codebasics AI Pro,UCh9nVJoWXmFb7sLApWGcLPQ
53.48,65,dev-tools,DistroTube,@DistroTube,275000,1,dotfiles git workflow,Linux distro and terminal tool reviews with some dev workflow,I'm Always Right And You're Always Wrong (A Message To Non-Idiots!),Non-Programmer Builds Web App In Minutes,Is Artix Linux Just A Protest Distro?,UCVls1GmFKf6WlTraIb_IaJg
53.24,70,dev-tools,Coding with Sphere,@codingwithsphere,22800,1,neovim configuration,Neovim and hardware setup for developers with C programming,My Experience Switching to a Split Keyboard (Corne V4),My Favorite Neovim Colorschemes,Stop coding so much,UCpwl7jNE9PJc-lBTShNs5TQ
52.83,65,programming-education,Let's Get Rusty,@letsgetrusty,167000,1,neovim configuration,Rust programming education with terminal usage but language-focused,Software jobs AI can’t replace,Top 4 Rust career paths (and which one you should choose),Rust Ruined My Career (I Can't Go Back),UCSp-OaMpsO8K0KkOqyBl7_w
52.42,50,python-data,Darshil Parmar,@DarshilParmar,203000,3,"spark data processing, data pipelines airflow, pyspark data engineering","Data engineering tutorials with Databricks and Spark, dev audience but no CLI tools",AWS Masterclass for Data Engineers with Project,Only Data Engineering Roadmap You Need 2026,Learn Databricks in 10 Minutes | Most Important Skill for Data Engineering,UCChmJrVa8kDg05JfCmxpLRw
52.24,60,programming-education,GOTO Conferences,@GOTO-,1060000,1,python clean architecture,Major tech conference channel with architecture talks,Tech Truth: Teaching Kids to Code with Sonic Pi • Sam Aaron & James Lewis • GOTO 2025,Kafka for Architects • Ekaterina Gorshkova & Viktor Gamov • GOTO 2026,Beyond Line Charts • Yao Yue • YOW! 2025,UCs_tLP3AiwYKwdUHpltJPuA
51.99,60,web-dev,Chai aur Code,@chaiaurcode,870000,1,python dependency injection,Indian web development education with AI and local tool coverage,We build a Hackathon Evaluation Engine with AI,My local AI software to process Youtube Videos,Control AI suggestions in VSCode,UCNQ6FEtztATuaVhZKCY28Yw
51.84,65,programming-education,bashbunni,@bashbunni,77600,1,dotfiles git workflow,Developer lifestyle and learning with terminal setup mentions,I've been worried about the future of open source... Is this the way forward?,The rust arc begins: my 90-day roadmap to grow as a developer,my deep focus classical music playlist // STUDY WITH ME (learning rust),UC9H0HzpKf5JlazkADWnW1Jw
51.32,70,dev-tools,Semicolon & Sons,@semicolonsons,5240,1,dotfiles git workflow,Vim and dotfile management with practical dev workflow,VIM A-Z: A Text Object for Every Letter in the Alphabet,How I organize my .vimrc and keep track what my vim is capable of.,How I manage my dotfiles with git,UC17mJJnvzAa_e9qQqLIfIeQ
51.25,68,ai-ml-dev,Samuel Gregory,@0x5am5,12400,1,dotfiles git workflow,Local AI setup and Claude tool coverage,MLX vs GGUF: Ultimate Comparison,Ultimate Guide Local AI Setup (Qwen3.6 + LlamaC++ + TurboQuant),M5 MacBook Pro: Qwen3.5 vs Gemma4,UCzeFD1by4aT8RxBwSR7IzDA
50.22,65,dev-tools,My Linux For Work,@mylinuxforwork,22500,1,dotfiles git workflow,"Linux distro and Hyprland setup tutorials, more ricing/setup than coding workflow",The Best of Both Worlds? Installing Cosmic + Hyprland on Arch Linux,ML4W OS 2.12.2: New Quickshell Selector & Major Script Upgrades,ML4W OS 2.12.0: The Quickshell Revolution!,UC0sUzmZ0CHvVCVrpRfGKZfw
50.2,72,dev-tools,GeekMasher,@GeekMasher,879,1,dotfiles git workflow,Neovim security integration and coding challenges with Rust,Building my own Object Relational Mapper (ORM) in Rust,Why do I use Neovim?,Using Neovim to Help Develop Secure Code - NeovimConf 2023,UC7e94PuJo_6tMxwx6BS7dzw
49.46,65,programming-education,DevTernity Conference,@DevTernity,12500,1,python clean architecture,Developer conference with Linux CLI and architecture talks,Mastering the Linux Command Line – Bert Jan Schrijver,🚀 Client-side Machine Learning (Nikhila Ravi ),Right and Responsibilities of a Delivery Team (Sandro Mancuso),UCvzMZyJZZ3XYQwbvOACVYrQ
49.36,60,programming-education,PYCON UK,@PyconUKSoc,4740,2,"python clean architecture, python dependency injection",UK Python conference with architecture and coding talks,"PYCON UK 2025: Ada by Emily Holyoake, a rehearsed reading","PYCON UK 2025: Bringing Randomness to Life: A Python tool for stochastic processes, Dialid Santiago","PYCON UK 2025: How to be a Python Icon, writing Pythonic Code, Jesse Carnaxide",UChA9XP_feY1-1oSy2L7acog
48.85,65,programming-education,PyCon Sweden,@PyConSweden,7850,1,python design patterns,Python conference with CLI interfaces and design pattern talks,Query your structured data with a LangChain AI agent  by Christophe Bornet | PyConSe | 2024,A challenge of converting a project's core to asyncio by Petr Savelyev | PyConSe | 2024,Accidentally popular: Beautiful CLI interfaces with rich-click by Phil Ewels| PyConSe | 2024,UCH_2cuWzFMyCPvm75lJJ6wg
48.57,50,python-data,Data with Zach,@EcZachly_,259000,2,"spark data processing, data pipelines airflow",Data engineering boot camp with some AI engineering comparisons,Building an Android and iOS app in one day with AI: Podcast Episode 1 - Li Yin - Founder of SylphAI,"Learn Data Modeling in 8 minutes: Dimensional Data Modeling, Data Vault, and One Big Table","Data Pipelines in 8 minutes: Streaming, Batch, and on-demand",UCAq9f7jFEA7Mtl3qOZy2h1A
47.69,55,devops-cloud,Wolfgang's Channel,@WolfgangsChannel,323000,1,dotfiles git workflow,"Homelab and self-hosting with NixOS, some terminal overlap",How to Build a Home Server in 2026 (without going insane),Searching for the Perfect All-SSD NAS,I tried (and failed) to ditch Spotify for an iPod,UCsnGwSIHyoYN0kiINAGUKxg
47.37,55,mobile-dev,Philipp Lackner,@PhilippLackner,252000,1,python dependency injection,Mobile development with some AI coding tool comparisons,I've Tried the New Claude Design Tool to Create a PL Coding App,Beginner Course for AI-Assisted Android Development,3 Theoretical Limits of AI - These Things Can't Be Fixed,UCKNTZMRHPLXfqlbdOI7mCkg
46.53,60,dev-tools,saneAspect,@saneAspect,13200,1,dotfiles git workflow,Terminal emulator and Linux desktop configuration,Ghostty: Is This the Future of Hyprland Terminals?,Stop Building Your Hyprland Setups in Your Head,Hyprland's Window Rules Explained,UC0qeRPC8H5c25yzGWQ-ffpw
45.34,48,python-data,Ease With Data,@easewithdata,54200,2,"spark data processing, pyspark data engineering",Databricks and data engineering tutorials with GenAI module for data engineers,GenAI - For Data Engineers Agenda & Introduction | LLM & Agentic AI | LangChain & LangGraph | Claude,54 Zerobus Ingest Lakeflow Standard Connector | Ingest Streaming data directly into Delta Table,53 Lakeflow Connect SQL Server Managed Connector | Ingest Data using Databricks native connectors,UCadVGkh-CrparnJIgmv5Iuw
45.13,50,python-data,coder2j,@coder2j,18400,2,"data pipelines airflow, pyspark data engineering",Data pipeline orchestration and some LangChain content,Why I Stopped Using pip (and What I Use Instead),LangChain Installation and Setup with OpenAI ChatGPT model | LangChain Tutorial P2,LangChain Introduction | LangChain Tutorial P1,UCHoLIMtg_OigNlJmjHX9J8Q
44.82,55,programming-education,EuroPython Conference,@EuroPythonConference,35700,1,python clean architecture,Python conference with community and technical talks,EP2026 - Ask Me Anything About CfP Workshop,PyStories with Numberly — Sébastien Crocquevieille,PyStories with Kiwi.com — Alena Osipova,UC98CzaYuFNAA_gOINFB0e4Q
43.6,55,programming-education,DevInsideYou,@DevInsideYou,13900,1,dotfiles git workflow,Scala and functional programming with some workflow content,I replaced most of Play3 and it worked!,Diamond Architecture - How to build HUMONGOUS Apps FAST! - Part 5 - Less Boilerplate Please,How we use sbt-buildinfo in production.,UCSBUwLT9zXhUalKfJrc2q2A
43.16,50,programming-education,CodeOpinion,@CodeOpinion,99700,1,python clean architecture,Software architecture commentary without hands-on CLI,"The ""Just Use Postgres"" Trap","Testable Code Doesn't Mean ""Interfaces Everywhere""","Why ""Clean Architecture"" is Killing Your Velocity",UC3RKA4vunFAfrfxiJhPEplw
43.01,40,python-data,Data with Baraa,@DataWithBaraa,361000,2,"spark data processing, pyspark data engineering","Data engineering and Power BI tutorials, less coding tool focused",What Are Databricks Notebooks? (Complete Beginner Guide),What I Actually Do as a Data Engineer,Pivot vs Unpivot in Power Query (Visually Explained) | #Power BI Course 13,UC8_RSKwbU1OmZWNEoLV1tQg
42.63,45,python-data,Afaque Ahmad,@afaqueahmad7117,27000,2,"spark data processing, pyspark data engineering",Data engineering interview prep and Databricks tutorials,"Databricks End-To-End Project | Zero-To-Expert | Streaming, AI, Lakeflow, Unity Catalog, AI/BI",How Much DSA Do You Need To Crack Data Engineering Interviews?,Will AI REPLACE Data Engineers?,UCYFKQl9VMvtnUHxZ9uFx7qw
42.41,55,programming-education,Interview Simplified,@sweetcodey,5580,1,python design patterns,Interview prep with some GitHub Copilot and design patterns,OTP Service System Design | How One-Time Password Verification Works,Inheritance in Python Explained with Examples | OOPS Mastery,Objects & Classes in Python — Explained Like You’ve Never Seen BeforeWhy this works,UC4x5_7OHwc1jNBZIVXw8HLA
41.82,55,programming-education,"Speak, Machine",@speakmachinex,3550,1,neovim configuration,Programming philosophy and junior dev content with light terminal mentions,Making Mistakes Is How We Learn as Developers,Why I (Kinda) Open-Sourced My Sci-Fi Books on GitHub,Harry Potter Was a Vibe Coder,UCMkMs3Val6p1J6ZJe-TJ65Q
41.74,55,programming-education,Code Collider,@codecollider,3350,1,python clean architecture,FastAPI and Python backend tutorials,15 FastAPI Best Practices For Production,"How Python Async Libraries (httpx, aiofiles, etc.) Works?",Performance Benchmarks: Django vs FastAPI vs Flask,UCXKVnF3KeF1wm3zJnMbWgHQ
41.56,45,python-data,Databricks For Professionals,@Emil-Kaminski,11900,2,"spark data processing, pyspark data engineering",Databricks-specific data engineering tutorials,Databricks Unity Catalog Tutorial - Data Governance made easy,Databricks architecture  - how it really works,Delta Lake - EXPLAINED - Full Tutorial,UC1-u_2nI97cNHtu_FQ3HP_A
40.22,50,dev-tools,Tech Pills,@TechPillsNet,10400,1,dotfiles git workflow,Linux hardware and dotfiles with light dev relevance,VR on Linux: my experience,How to flash OS images on the Pinephone (SD or eMMC),My experience with the Pinephone,UCVqlDOUyIjMWqBUhp73a90g
40.07,50,programming-education,code::dive conference,@codediveconference,9280,1,python design patterns,C++ and systems programming conference talks,Timur Doumler - code::dive 2025 interview,Maja Bartosik - code::dive 2025 interview,Lieven De Cock - code::dive 2025 interview,UCU0Rt8VHO5-YNQXwIjkf-1g
39.71,50,tech-commentary,The Rad Lectures,@theradlectures,7020,1,neovim configuration,Mixed tech commentary with one CLI project but mostly non-dev topics,The Dollar Is Failing - Here's What Comes Next,"Stop Using ls, cat and cd",We Have Passed Peak Tech,UCt7AzHv_-ECbPPF3zsm3BLg
39.34,55,programming-education,Python Space,@python_space,531,1,python clean architecture,Python architecture talks and community content,Clean Architectures in Python  presented by Leonardo Giordani,Is DevOps dead  | Embrace platform engineering,Python Quiz #2 Global and Local Variables in Python #python,UCeJ97dyGros9qt9I0MK1vAQ
39.2,55,dev-tools,TUX: Geek-Room from Raven2cz,@geek-room,476,1,dotfiles git workflow,Local AI stack and Git configuration mixed with gaming content,Gemma 4 + Whisper + Chatterbox TTS - A Fully Local Czech AI Stack,SomeWM - Tag Slide Animation - Coming Soon...,Somewm FX Feature - coming soon...,UCEzmvag90vo5gmxi-svedGA
38.63,50,programming-education,CodeTekTeach,@CodeTekTeach,3070,1,python design patterns,Broad beginner Python tutorial channel,The Complete Python Hacking Course Beginner to Advanced,Python SOLID Principles and Top Design Patterns,Mastering OpenAI Python APIs Unleash ChatGPT and GPT4,UCyJgUaFffGg9pTlM1GzgWQg
37.75,40,programming-education,Milan Jovanović,@MilanJovanovicTech,157000,1,python clean architecture,.NET backend architecture without terminal or AI tools,The Pipeline Pattern: Clean Up Your Complex Business Rules,The Easiest Way to Implement the Outbox and Inbox Pattern in .NET!,Monitoring .NET APIs and Microservices for Free (Uptime Kuma),UCC_dVe-RI-vgCZfls06mDZQ
37.18,35,devops-cloud,HackerSploit,@HackerSploit,1010000,1,terminal tmux setup,Pure cybersecurity offensive content without dev tool relevance,How FIN6 Exfiltrates Files Over FTP,Emulating FIN6 - Active Directory Enumeration Made EASY,The SECRET to Embedding Metasploit Payloads in VBA Macros,UC0ZTPkdxlAKf-V33tqXwi3Q
37.17,55,dev-tools,Robin Bowes,@robinbowes,23,1,terminal tmux setup,Minimal terminal content mixed with personal videos,"Alanis Morissette, O2 Arena London, Sunday 27 July, 2025","I 'ate you, Butler!","Look North - York City vs. Oxford United, Wembley, 16th May 2010",UCNsuuiKSAKUwzm3D-neEcCQ
36.84,40,mobile-dev,Cheezy Code,@CheezyCode,77700,1,python dependency injection,Android development in Hindi with design patterns,WorkManager Android Tutorial | WorkManager vs. Services | CheezyCode,Android Dynamic Notification with Foreground Service | CheezyCode | Hindi,Android Foreground Service Tutorial | CheezyCode | Hindi,UCOknqk-MSOCf3SANW8Wumfg
36.5,40,programming-education,Amichai Mantinband,@amantinband,60100,1,python clean architecture,.NET-focused tutorials with design patterns,The Best (and Free) Screen Annotation Tool for macOS,Introducing bananotate 3.0,3 Powerful Design Patterns You Should Know,UClz49zOCnzsclUJY-t62lIw
31.68,40,programming-education,Hallow Teaches Stuff,@HallowTeachesStuff,1480,1,python design patterns,Competitive programming solutions in Python,617A | Elephant | Codeforces Python Solutions | Explanation + Walkthrough,734A | Anton and Danik | Codeforces Python Solutions | Explanation + Walkthrough,791A | Bear and Big Brother | Codeforces Python Solutions | Explanation + Walkthrough,UC9ifFbkRguXk5hKCAjLsxIQ
30.44,35,programming-education,miss google,@missgoogle_07,5740,1,python design patterns,Broad beginner programming tutorials without terminal focus,Build a Web App with Vanilla JavaScript and Web Components,Selenium Automation Testing for beginners | Selenium Automation with Java,Rust Programming Language | What's unique about Rust,UCliErJMz_UnoeCBUWqwFWpQ
30.02,35,programming-education,Mark Inman,@Mark-D-Inman,4160,1,python clean architecture,Blazor and Microsoft stack tutorials,Handle Errors in Blazor the Right Way,13 Awesome features you didn’t know Visual Studio had,Image Dropdown List with Blazor,UCxd9eggS8qe5DPpYFeoZDxg
24.99,30,off-topic,Yeti LLC,@YetiLLC,872,1,python clean architecture,No-code and hackathon content without terminal dev tools,2025: Yeti's Year in Review,"Building a Nonprofit with Sky's the Limit CEO, Bo Ghirardelli",Vibecoding 2025: Lessons Learned During Yeti's 2025 AI Hackathon,UCqxrn5CGalpGyp1nj_G6HaQ
